Country;Year;Goals;Winner;Runnerup
Greece;1992;;;
Hungary;1992;;;
Italy;1992;;;
Latvia;1992;;;
Netherlands;1992;6;;
Norway;1992;;;
Poland;1992;;;
Portugal;1992;;;
Ireland (Republic);1992;;;
Romania;1992;;;
Russia;1992;7;;
Scotland;1992;3;;
Serbia;1992;;;
Slovenia;1992;;;
Spain;1992;;;
Sweden;1992;6;;
Switzerland;1992;;;
Turkey;1992;;;
Ukraine;1992;;;
Austria;1996;;;
Belgium;1996;;;
Bulgaria;1996;3;;
Croatia;1996;5;;
Czech Republic;1996;7;;Czech Republic
Denmark;1996;4;;
England;1996;8;;
France;1996;5;;
Germany;1996;10;Germany;
Greece;1996;;;
Hungary;1996;;;
Italy;1996;3;;
Latvia;1996;;;
Netherlands;1996;3;;
Norway;1996;;;
Poland;1996;;;
Portugal;1996;5;;
Ireland (Republic);1996;;;
Romania;1996;1;;
Russia;1996;1;;
Scotland;1996;1;;
Serbia;1996;;;
Slovenia;1996;;;
Spain;1996;4;;
Sweden;1996;;;
Switzerland;1996;1;;
Turkey;1996;0;;
Ukraine;1996;;;
Austria;2000;;;
Belgium;2000;2;;
Bulgaria;2000;;;
Croatia;2000;;;
Czech Republic;2000;3;;
Denmark;2000;0;;
England;2000;5;;
France;2000;13;France;
Germany;2000;1;;
Greece;2000;;;
Hungary;2000;;;
Italy;2000;9;;Italy
Latvia;2000;;;
Netherlands;2000;13;;
Norway;2000;1;;
Poland;2000;;;
Portugal;2000;10;;
Ireland (Republic);2000;;;
Romania;2000;4;;
Russia;2000;4;;
Scotland;2000;;;
Serbia;2000;8;;
Slovenia;2000;4;;
Spain;2000;7;;
Sweden;2000;2;;
Switzerland;2000;;;
Turkey;2000;3;;
Ukraine;2000;;;
Austria;2004;;;
Belgium;2004;;;
Bulgaria;2004;1;;
Croatia;2004;4;;
Czech Republic;2004;10;;
Denmark;2004;4;;
England;2004;10;;
France;2004;7;;
Germany;2004;2;;
Greece;2004;7;Greece;
Hungary;2004;;;
Italy;2004;3;;
Latvia;2004;1;;
Netherlands;2004;7;;
Norway;2004;;;
Poland;2004;;;
Portugal;2004;8;;Portugal
Ireland (Republic);2004;;;
Romania;2004;;;
Russia;2004;2;;
Scotland;2004;;;
Serbia;2004;;;
Slovenia;2004;;;
Spain;2004;2;;
Sweden;2004;8;;
Switzerland;2004;1;;
Turkey;2004;;;
Ukraine;2004;;;
Austria;2008;1;;
Belgium;2008;;;
Bulgaria;2008;;;
Croatia;2008;5;;
Czech Republic;2008;4;;
Denmark;2008;;;
England;2008;;;
France;2008;1;;
Germany;2008;10;;Germany
Greece;2008;1;;
Hungary;2008;;;
Italy;2008;3;;
Latvia;2008;;;
Netherlands;2008;10;;
Norway;2008;;;
Poland;2008;1;;
Portugal;2008;7;;
Ireland (Republic);2008;;;
Romania;2008;1;;
Russia;2008;7;;
Scotland;2008;;;
Serbia;2008;;;
Slovenia;2008;;;
Spain;2008;12;Spain;
Sweden;2008;3;;
Switzerland;2008;3;;
Turkey;2008;8;;
Ukraine;2008;;;
Austria;2012;;;
Belgium;2012;;;
Bulgaria;2012;;;
Croatia;2012;4;;
Czech Republic;2012;4;;
Denmark;2012;4;;
England;2012;5;;
France;2012;3;;
Germany;2012;10;;
Greece;2012;5;;
Hungary;2012;;;
Italy;2012;6;;Italy
Latvia;2012;;;
Netherlands;2012;2;;
Norway;2012;;;
Poland;2012;2;;
Portugal;2012;6;;
Ireland (Republic);2012;1;;
Romania;2012;;;
Russia;2012;5;;
Scotland;2012;;;
Serbia;2012;;;
Slovenia;2012;;;
Spain;2012;12;Spain;
Sweden;2012;5;;
Switzerland;2012;;;
Turkey;2012;;;
Ukraine;2012;2;;
